,title,link
0,b'Coding Startups - Coders with entrepreneurial mindset',https://codingstartups.com/
1,"b'Lauren Glass, Author at Coding Startups'",https://codingstartups.com/author/ljglass/
2,"b'Omer Goldberg, Author at Coding Startups'",https://codingstartups.com/author/omergoldberg/
3,b'startup Archives - Coding Startups',https://codingstartups.com/tag/startup/
4,b'Machine Learning for hackers: model comparison ... - Coding Startups',https://codingstartups.com/machine-learning-hackers-model-comparison-selection/
5,"b'Assaf Elovic, Author at Coding Startups'",https://codingstartups.com/author/assafelovic/
6,b'How to choose a cloud computing technology for ... - Coding Startups',https://codingstartups.com/choose-cloud-computing-technology-startup/
7,b'I moved from Windows to Linux. Here are some ... - Coding Startups',https://codingstartups.com/moved-windows-linux-lessons-learned/
8,b'CodingStartups - Website | Facebook - 2 Reviews - 3 Photos',https://www.facebook.com/codingstartups/?ref=page_internal
9,b'Ofir Chakon | Professional Profile - LinkedIn',https://il.linkedin.com/in/ofir-chakon-5811725b
